data_source,game_key,turn,player_seat,posterior_marginal,posterior_joint,n_cand_marginal,n_cand_joint,n_constrained_others
hanab_live,1757376,44,0,0.571428571429,0.538461538462,13,12,4
hanab_live,1757376,46,0,0.555555555556,0.5,9,8,4
hanab_live,1757376,48,0,0.666666666667,0,3,1,4
hanab_live,1757376,51,1,0.75,0.75,4,4,4
hanab_live,1757376,55,1,0.8,0.875,5,5,4
hanab_live,1757378,2,0,0.666666666667,0.666666666667,4,4,4
hanab_live,1757378,3,1,0.142857142857,0.142857142857,5,5,4
hanab_live,1757378,4,0,0.75,0.75,4,4,3
hanab_live,1757378,10,0,0.714285714286,0.666666666667,4,4,4
hanab_live,1757378,11,1,0.333333333333,0.333333333333,5,5,4
hanab_live,1757378,13,1,0.454545454545,0.454545454545,5,5,4
hanab_live,1757378,15,1,0.75,0.714285714286,5,5,4
hanab_live,1757378,16,0,0,0,1,1,3
hanab_live,1757378,18,0,0.666666666667,0.666666666667,4,4,4
hanab_live,1757378,19,1,0,0,1,1,3
hanab_live,1757378,23,1,0.666666666667,0.666666666667,3,3,4
hanab_live,1757378,25,1,0.625,0.625,4,4,4
hanab_live,1757378,27,1,0.285714285714,0.305555555556,5,5,4
hanab_live,1757378,33,1,0.4,0.4,4,4,3
hanab_live,1757378,41,1,0.666666666667,0.666666666667,3,3,4
hanab_live,1757378,52,0,0.75,0.666666666667,4,3,4
hanab_live,1757378,53,1,0,0,1,1,4
hanab_live,1757378,55,1,0.666666666667,0.666666666667,3,3,4
hanab_live,1757378,56,0,0,0,1,1,3
hanab_live,1757378,58,0,0,0,1,1,4
hanab_live,1757378,60,0,0,0,1,1,3
hanab_live,1757378,62,0,0.5,0.5,2,2,4
hanab_live,1757378,64,0,0,0,1,1,4
hanab_live,1757378,66,0,0,0,1,1,4
hanab_live,1757378,68,0,0.666666666667,0.5,3,2,4
hanab_live,1757379,2,0,0,0,5,5,4
hanab_live,1757379,5,1,0,0,1,1,4
hanab_live,1757379,7,1,0.714285714286,0.714285714286,4,4,4
hanab_live,1757379,9,1,0.7,0.666666666667,5,5,4
hanab_live,1757379,10,0,0,0,1,1,4
hanab_live,1757379,11,1,0,0,1,1,3
hanab_live,1757379,12,0,0.714285714286,0.714285714286,4,4,3
hanab_live,1757379,20,0,0.625,0.625,5,5,4
hanab_live,1757379,22,0,0.625,0.571428571429,5,4,4
